zone,crop_type,growing_stage,stage_day_of_year,temperature,humidity,precipitation,yield_value,disease_probability
northwest,winter_wheat,sowing,96,-4.0,55.8,10.2,20.4,0.17
northwest,winter_wheat,sowing,112,-2.0,77.1,8.6,22.3,0.09
northwest,winter_wheat,sowing,91,-4.8,78.2,0.5,21.7,0.2
northwest,winter_wheat,sowing,115,-1.0,64.3,4.5,25.2,0.11
northwest,winter_wheat,sowing,109,-1.9,52.4,8.5,17.8,0.1
northwest,winter_wheat,sowing,93,-4.5,67.1,5.2,16.7,0.13
northwest,winter_wheat,sowing,117,-0.8,55.1,7.3,17.9,0.25
northwest,winter_wheat,tillering,165,5.6,76.6,7.7,23.6,0.19
northwest,winter_wheat,tillering,144,2.4,58.7,1.2,23.8,0.16
northwest,winter_wheat,tillering,147,4.1,70.6,15.7,28.4,0.14
northwest,winter_wheat,tillering,158,6.8,55.8,16.8,31.5,0.12
northwest,winter_wheat,tillering,153,3.3,59.3,12.0,29.6,0.19
northwest,winter_wheat,tillering,168,7.9,81.6,15.1,26.4,0.1
northwest,winter_wheat,tillering,152,5.3,73.2,10.0,25.0,0.19
northwest,winter_wheat,booting,194,9.3,76.9,14.8,30.3,0.22
northwest,winter_wheat,booting,198,9.4,77.0,2.6,28.9,0.12
northwest,winter_wheat,booting,191,11.7,64.7,10.0,41.4,0.26
northwest,winter_wheat,booting,174,9.4,61.3,1.8,29.7,0.12
northwest,winter_wheat,booting,161,6.7,62.6,2.3,30.0,0.13
northwest,winter_wheat,booting,179,10.9,70.9,14.9,38.2,0.29
northwest,winter_wheat,booting,192,9.9,74.8,0.5,29.0,0.14
northwest,winter_wheat,booting,165,6.9,66.5,4.3,26.2,0.15
northwest,winter_wheat,heading_flowering,204,11.0,62.6,11.4,32.9,0.2
northwest,winter_wheat,heading_flowering,201,11.1,70.8,6.3,30.3,0.19
northwest,winter_wheat,heading_flowering,238,22.1,70.1,1.2,40.0,0.6
northwest,winter_wheat,heading_flowering,191,11.1,68.7,10.8,35.1,0.2
northwest,winter_wheat,heading_flowering,206,14.7,67.1,12.9,39.6,0.36
northwest,winter_wheat,heading_flowering,237,20.5,62.3,11.5,45.8,0.48
northwest,winter_wheat,heading_flowering,225,12.9,72.5,5.2,36.0,0.24
northwest,winter_wheat,heading_flowering,222,15.1,72.5,17.8,38.4,0.43
northwest,winter_wheat,ripening_maturity,269,27.3,85.7,6.6,33.9,0.92
northwest,winter_wheat,ripening_maturity,276,24.5,67.6,24.6,49.4,0.56
northwest,winter_wheat,ripening_maturity,251,21.5,68.6,8.4,46.8,0.73
northwest,winter_wheat,ripening_maturity,243,18.4,84.7,19.3,39.4,0.67
northwest,winter_wheat,ripening_maturity,259,22.6,59.2,2.8,44.6,0.18
northwest,winter_wheat,ripening_maturity,265,23.1,80.0,15.8,33.3,0.85
northwest,winter_wheat,ripening_maturity,252,20.9,73.8,14.9,36.1,0.57
northwest,spring_barley,sowing,95,-4.2,77.0,8.3,16.4,0.2
northwest,spring_barley,sowing,106,-2.9,80.7,6.6,13.5,0.28
northwest,spring_barley,sowing,117,-1.4,79.3,6.4,18.9,0.29
northwest,spring_barley,sowing,107,-2.3,79.0,9.6,15.9,0.12
northwest,spring_barley,sowing,104,-2.4,54.9,7.2,18.5,0.25
northwest,spring_barley,sowing,90,-5.0,71.3,7.1,13.9,0.18
northwest,spring_barley,emergence,127,1.6,79.3,7.9,17.8,0.26
northwest,spring_barley,emergence,110,-2.3,63.0,1.2,20.4,0.11
northwest,spring_barley,emergence,111,-2.1,68.5,1.0,17.3,0.21
northwest,spring_barley,emergence,138,3.4,78.3,4.3,15.5,0.16
northwest,spring_barley,emergence,120,-0.9,67.2,11.3,16.4,0.22
northwest,spring_barley,emergence,113,-1.0,57.0,6.1,18.8,0.13
northwest,spring_barley,emergence,125,1.4,67.3,5.1,22.5,0.15
northwest,spring_barley,emergence,137,3.0,60.0,3.3,17.2,0.19
northwest,spring_barley,tillering,154,5.6,61.8,16.0,24.9,0.21
northwest,spring_barley,tillering,151,5.4,54.6,9.6,18.1,0.12
northwest,spring_barley,tillering,158,4.4,55.0,1.2,23.3,0.24
northwest,spring_barley,tillering,141,1.8,75.6,12.9,17.5,0.19
northwest,spring_barley,tillering,166,6.6,72.5,11.3,18.3,0.17
northwest,spring_barley,tillering,148,4.2,78.7,10.9,16.8,0.11
northwest,spring_barley,tillering,131,0.5,69.7,14.3,19.6,0.18
northwest,spring_barley,heading_flowering,222,15.6,73.3,20.0,26.7,0.58
northwest,spring_barley,heading_flowering,199,10.5,64.0,4.6,25.4,0.22
